Time, Quadrant Number, Ball Colour, Type
2.96, 2, red, Exit
2.96, 4, red, Entry
3.00, 4, red, Exit
3.00, 3, red, Entry
3.03, 3, red, Exit
3.03, 4, red, Entry
3.06, 4, red, Exit
3.06, 3, red, Entry
3.20, 3, red, Exit
3.20, 1, red, Entry
3.23, 1, red, Exit
3.23, 3, red, Entry
3.83, 3, red, Exit
3.83, 1, red, Entry
3.86, 1, red, Exit
3.86, 3, red, Entry
3.89, 3, red, Exit
3.89, 1, red, Entry
3.96, 1, red, Exit
3.96, 3, red, Entry
4.06, 3, red, Exit
4.06, 1, red, Entry
4.09, 1, red, Exit
4.09, 3, red, Entry
4.13, 3, red, Exit
4.13, 4, red, Entry
4.16, 4, red, Exit
4.16, 3, red, Entry
4.19, 3, red, Exit
4.19, 1, red, Entry
4.23, 1, red, Exit
4.23, 4, red, Entry
4.33, 4, red, Exit
4.33, 3, red, Entry
4.36, 3, red, Exit
4.36, 2, red, Entry
4.39, 2, red, Exit
4.39, 3, red, Entry
4.43, 3, red, Exit
4.43, 4, red, Entry
4.63, 4, red, Exit
4.63, 1, red, Entry
4.66, 1, red, Exit
4.66, 3, red, Entry
4.73, 3, red, Exit
4.73, 4, red, Entry
4.83, 4, red, Exit
4.83, 2, red, Entry
4.89, 2, red, Exit
4.89, 3, red, Entry
5.43, 3, red, Exit
5.43, 1, red, Entry
5.53, 1, red, Exit
5.53, 3, red, Entry
5.56, 3, red, Exit
5.56, 2, red, Entry
5.59, 2, red, Exit
5.59, 3, red, Entry
5.63, 3, red, Exit
5.63, 2, red, Entry
5.69, 2, red, Exit
5.69, 3, red, Entry
5.72, 3, red, Exit
5.72, 2, red, Entry
5.76, 2, red, Exit
5.76, 4, red, Entry
5.79, 4, red, Exit
5.79, 2, red, Entry
5.82, 2, red, Exit
5.82, 3, red, Entry
5.92, 3, red, Exit
5.92, 4, red, Entry
6.02, 4, red, Exit
6.02, 1, red, Entry
6.12, 1, red, Exit
6.12, 3, red, Entry
6.19, 3, red, Exit
6.19, 1, red, Entry
6.22, 1, red, Exit
6.22, 3, red, Entry
6.29, 3, red, Exit
6.29, 1, red, Entry
6.36, 1, red, Exit
6.36, 3, red, Entry
6.42, 3, red, Exit
6.42, 1, red, Entry
6.46, 1, red, Exit
6.46, 3, red, Entry
6.49, 3, red, Exit
6.49, 1, red, Entry
6.69, 1, red, Exit
6.69, 2, red, Entry
6.76, 2, red, Exit
6.76, 1, red, Entry
6.79, 1, red, Exit
6.79, 2, red, Entry
6.82, 2, red, Exit
6.82, 3, red, Entry
6.86, 3, red, Exit
6.86, 1, red, Entry
6.89, 1, red, Exit
6.89, 4, red, Entry
6.96, 4, red, Exit
6.96, 1, red, Entry
6.99, 4, blue, Exit
6.99, 2, blue, Entry
7.02, 2, blue, Exit
7.02, 4, blue, Entry
7.02, 1, red, Exit
7.02, 3, red, Entry
7.26, 3, red, Exit
7.26, 2, red, Entry
7.29, 2, red, Exit
7.29, 3, red, Entry
7.32, 3, red, Exit
7.32, 1, red, Entry
7.36, 4, blue, Exit
7.36, 2, blue, Entry
7.36, 1, red, Exit
7.36, 3, red, Entry
7.39, 2, blue, Exit
7.39, 4, blue, Entry
7.46, 3, red, Exit
7.46, 1, red, Entry
7.49, 1, red, Exit
7.49, 3, red, Entry
7.59, 3, red, Exit
7.59, 1, red, Entry
7.62, 1, red, Exit
7.62, 3, red, Entry
7.79, 3, red, Exit
7.79, 2, red, Entry
7.86, 4, blue, Exit
7.86, 2, blue, Entry
7.92, 2, red, Exit
7.92, 1, red, Entry
7.96, 2, blue, Exit
7.96, 4, blue, Entry
7.99, 1, red, Exit
7.99, 4, red, Entry
8.05, 4, red, Exit
8.05, 3, red, Entry
8.09, 3, red, Exit
8.09, 4, red, Entry
8.12, 4, red, Exit
8.12, 1, red, Entry
8.19, 1, red, Exit
8.19, 3, red, Entry
8.22, 3, red, Exit
8.22, 1, red, Entry
8.25, 1, red, Exit
8.25, 3, red, Entry
8.62, 3, red, Exit
8.62, 2, red, Entry
8.69, 2, red, Exit
8.69, 3, red, Entry
8.85, 3, red, Exit
8.85, 1, red, Entry
8.89, 1, red, Exit
8.89, 3, red, Entry
8.92, 3, red, Exit
8.92, 4, red, Entry
8.95, 4, red, Exit
8.95, 3, red, Entry
9.25, 4, blue, Exit
9.25, 2, blue, Entry
9.25, 3, red, Exit
9.25, 4, red, Entry
9.29, 2, blue, Exit
9.29, 4, blue, Entry
9.32, 4, red, Exit
9.32, 3, red, Entry
9.39, 4, blue, Exit
9.39, 2, blue, Entry
9.42, 2, blue, Exit
9.42, 4, blue, Entry
9.45, 4, blue, Exit
9.45, 2, blue, Entry
9.45, 3, red, Exit
9.45, 2, red, Entry
9.49, 2, blue, Exit
9.49, 4, blue, Entry
9.49, 2, red, Exit
9.49, 4, red, Entry
9.55, 4, red, Exit
9.55, 3, red, Entry
9.62, 3, red, Exit
9.62, 4, red, Entry
9.65, 4, red, Exit
9.65, 3, red, Entry
9.99, 3, red, Exit
9.99, 4, red, Entry
10.02, 4, red, Exit
10.02, 3, red, Entry
10.05, 3, red, Exit
10.05, 4, red, Entry
10.15, 4, red, Exit
10.15, 3, red, Entry
10.19, 3, red, Exit
10.19, 4, red, Entry
10.25, 4, red, Exit
10.25, 2, red, Entry
10.29, 2, red, Exit
10.29, 3, red, Entry
10.35, 3, red, Exit
10.35, 2, red, Entry
10.38, 2, red, Exit
10.38, 3, red, Entry
10.95, 4, blue, Exit
10.95, 2, blue, Entry
10.98, 2, blue, Exit
10.98, 4, blue, Entry
11.18, 4, blue, Exit
11.18, 2, blue, Entry
11.22, 2, blue, Exit
11.22, 4, blue, Entry
11.25, 3, red, Exit
11.25, 4, red, Entry
11.28, 4, blue, Exit
11.28, 2, blue, Entry
11.28, 4, red, Exit
11.28, 3, red, Entry
11.32, 2, blue, Exit
11.32, 4, blue, Entry
11.35, 4, blue, Exit
11.35, 2, blue, Entry
11.35, 3, red, Exit
11.35, 4, red, Entry
11.38, 2, blue, Exit
11.38, 4, blue, Entry
11.38, 4, red, Exit
11.38, 3, red, Entry
11.45, 4, blue, Exit
11.45, 2, blue, Entry
11.48, 2, blue, Exit
11.48, 4, blue, Entry
11.48, 3, red, Exit
11.48, 1, red, Entry
11.52, 1, red, Exit
11.52, 3, red, Entry
11.58, 4, blue, Exit
11.58, 2, blue, Entry
11.58, 3, red, Exit
11.58, 1, red, Entry
11.62, 2, blue, Exit
11.62, 4, blue, Entry
11.62, 1, red, Exit
11.62, 3, red, Entry
11.65, 3, red, Exit
11.65, 2, red, Entry
11.68, 2, red, Exit
11.68, 1, red, Entry
11.72, 1, red, Exit
11.72, 4, red, Entry
11.75, 4, blue, Exit
11.75, 2, blue, Entry
11.78, 4, red, Exit
11.78, 3, red, Entry
11.82, 2, blue, Exit
11.82, 4, blue, Entry
11.85, 4, blue, Exit
11.85, 2, blue, Entry
11.98, 3, red, Exit
11.98, 1, red, Entry
12.02, 1, red, Exit
12.02, 3, red, Entry
12.05, 3, red, Exit
12.05, 4, red, Entry
13.65, 2, blue, Exit
13.65, 4, blue, Entry
13.81, 4, blue, Exit
13.81, 2, blue, Entry
14.81, 2, blue, Exit
14.81, 4, blue, Entry
14.85, 4, blue, Exit
14.85, 2, blue, Entry
14.88, 2, blue, Exit
14.88, 4, blue, Entry
14.91, 4, blue, Exit
14.91, 2, blue, Entry
15.98, 2, blue, Exit
15.98, 4, blue, Entry
16.01, 4, blue, Exit
16.01, 2, blue, Entry
16.28, 2, blue, Exit
16.28, 4, blue, Entry
16.31, 4, blue, Exit
16.31, 2, blue, Entry
17.57, 2, blue, Exit
17.57, 4, blue, Entry
17.61, 4, blue, Exit
17.61, 2, blue, Entry
17.74, 2, blue, Exit
17.74, 4, blue, Entry
17.77, 4, blue, Exit
17.77, 2, blue, Entry
17.81, 2, blue, Exit
17.81, 4, blue, Entry
17.84, 4, blue, Exit
17.84, 2, blue, Entry
18.34, 2, blue, Exit
18.34, 4, blue, Entry
19.17, 4, blue, Exit
19.17, 2, blue, Entry
19.21, 2, blue, Exit
19.21, 4, blue, Entry
19.27, 4, blue, Exit
19.27, 2, blue, Entry
19.31, 2, blue, Exit
19.31, 4, blue, Entry
19.97, 4, blue, Exit
19.97, 2, blue, Entry
20.04, 2, blue, Exit
20.04, 4, blue, Entry
21.24, 4, red, Exit
21.24, 1, red, Entry
21.34, 1, red, Exit
21.34, 4, red, Entry
21.40, 4, red, Exit
21.40, 1, red, Entry
21.44, 1, red, Exit
21.44, 4, red, Entry
21.47, 4, red, Exit
21.47, 1, red, Entry
21.50, 1, red, Exit
21.50, 2, red, Entry
21.54, 2, red, Exit
21.54, 1, red, Entry
21.57, 1, red, Exit
21.57, 4, red, Entry
21.60, 4, red, Exit
21.60, 1, red, Entry
21.64, 1, red, Exit
21.64, 3, red, Entry
21.87, 3, red, Exit
21.87, 4, red, Entry
21.90, 4, red, Exit
21.90, 3, red, Entry
22.00, 4, blue, Exit
22.00, 2, blue, Entry
22.03, 2, blue, Exit
22.03, 4, blue, Entry
22.03, 3, red, Exit
22.03, 4, red, Entry
22.13, 4, red, Exit
22.13, 3, red, Entry
22.30, 3, red, Exit
22.30, 4, red, Entry
22.33, 4, red, Exit
22.33, 3, red, Entry
22.47, 3, red, Exit
22.47, 2, red, Entry
22.50, 2, red, Exit
22.50, 1, red, Entry
22.57, 1, red, Exit
22.57, 4, red, Entry
22.63, 4, red, Exit
22.63, 3, red, Entry
22.77, 3, red, Exit
22.77, 4, red, Entry
22.80, 4, red, Exit
22.80, 3, red, Entry
23.00, 3, red, Exit
23.00, 1, red, Entry
23.07, 1, red, Exit
23.07, 4, red, Entry
23.17, 4, red, Exit
23.17, 3, red, Entry
23.20, 3, red, Exit
23.20, 1, red, Entry
23.27, 1, red, Exit
23.27, 4, red, Entry
23.43, 4, red, Exit
23.43, 2, red, Entry
23.53, 2, red, Exit
23.53, 4, red, Entry
23.57, 4, red, Exit
23.57, 2, red, Entry
23.67, 2, red, Exit
23.67, 4, red, Entry
23.70, 4, red, Exit
23.70, 2, red, Entry
23.73, 2, red, Exit
23.73, 4, red, Entry
23.77, 4, red, Exit
23.77, 2, red, Entry
23.87, 4, blue, Exit
23.87, 2, blue, Entry
23.90, 2, blue, Exit
23.90, 4, blue, Entry
23.93, 2, red, Exit
23.93, 4, red, Entry
23.97, 4, red, Exit
23.97, 3, red, Entry
24.00, 3, red, Exit
24.00, 4, red, Entry
24.23, 4, red, Exit
24.23, 2, red, Entry
24.53, 2, red, Exit
24.53, 4, red, Entry
24.56, 4, red, Exit
24.56, 2, red, Entry
24.60, 2, red, Exit
24.60, 1, red, Entry
24.63, 1, red, Exit
24.63, 4, red, Entry
24.66, 4, red, Exit
24.66, 3, red, Entry
24.76, 4, blue, Exit
24.76, 2, blue, Entry
24.80, 2, blue, Exit
24.80, 4, blue, Entry
24.83, 3, red, Exit
24.83, 2, red, Entry
24.86, 4, blue, Exit
24.86, 2, blue, Entry
24.86, 2, red, Exit
24.86, 3, red, Entry
24.90, 2, blue, Exit
24.90, 4, blue, Entry
24.96, 4, blue, Exit
24.96, 2, blue, Entry
24.96, 3, red, Exit
24.96, 1, red, Entry
25.10, 1, red, Exit
25.10, 3, red, Entry
25.13, 3, red, Exit
25.13, 1, red, Entry
25.20, 1, red, Exit
25.20, 3, red, Entry
25.26, 3, red, Exit
25.26, 4, red, Entry
25.30, 2, blue, Exit
25.30, 4, blue, Entry
25.33, 4, blue, Exit
25.33, 2, blue, Entry
25.33, 4, red, Exit
25.33, 3, red, Entry
25.36, 2, blue, Exit
25.36, 4, blue, Entry
25.40, 4, blue, Exit
25.40, 2, blue, Entry
25.40, 3, red, Exit
25.40, 4, red, Entry
25.50, 2, blue, Exit
25.50, 4, blue, Entry
25.50, 4, red, Exit
25.50, 3, red, Entry
25.56, 4, blue, Exit
25.56, 2, blue, Entry
25.60, 2, blue, Exit
25.60, 4, blue, Entry
25.63, 3, red, Exit
25.63, 4, red, Entry
25.66, 4, blue, Exit
25.66, 2, blue, Entry
25.66, 4, red, Exit
25.66, 2, red, Entry
25.70, 2, red, Exit
25.70, 3, red, Entry
25.73, 2, blue, Exit
25.73, 4, blue, Entry
25.76, 4, blue, Exit
25.76, 2, blue, Entry
25.76, 3, red, Exit
25.76, 4, red, Entry
25.80, 4, red, Exit
25.80, 3, red, Entry
25.90, 2, blue, Exit
25.90, 4, blue, Entry
25.93, 3, red, Exit
25.93, 1, red, Entry
25.96, 1, red, Exit
25.96, 4, red, Entry
26.16, 4, red, Exit
26.16, 1, red, Entry
26.20, 1, red, Exit
26.20, 4, red, Entry
26.23, 4, red, Exit
26.23, 3, red, Entry
26.30, 3, red, Exit
26.30, 4, red, Entry
26.43, 4, blue, Exit
26.43, 2, blue, Entry
26.56, 2, blue, Exit
26.56, 4, blue, Entry
27.19, 4, red, Exit
27.19, 3, red, Entry
27.69, 3, red, Exit
27.69, 4, red, Entry
28.09, 4, blue, Exit
28.09, 2, blue, Entry
28.13, 2, blue, Exit
28.13, 4, blue, Entry
29.39, 4, blue, Exit
29.39, 2, blue, Entry
30.02, 2, blue, Exit
30.02, 4, blue, Entry
30.19, 4, blue, Exit
30.19, 2, blue, Entry
30.22, 2, blue, Exit
30.22, 4, blue, Entry
30.49, 4, blue, Exit
30.49, 2, blue, Entry
30.52, 2, blue, Exit
30.52, 4, blue, Entry
30.72, 4, blue, Exit
30.72, 2, blue, Entry
30.89, 2, blue, Exit
30.89, 4, blue, Entry
30.99, 4, blue, Exit
30.99, 2, blue, Entry
31.05, 2, blue, Exit
31.05, 4, blue, Entry
31.15, 4, blue, Exit
31.15, 2, blue, Entry
31.19, 2, blue, Exit
31.19, 4, blue, Entry
31.92, 4, blue, Exit
31.92, 2, blue, Entry
31.99, 2, blue, Exit
31.99, 4, blue, Entry
32.92, 4, blue, Exit
32.92, 2, blue, Entry
32.95, 2, blue, Exit
32.95, 4, blue, Entry
32.99, 4, blue, Exit
32.99, 2, blue, Entry
34.25, 2, blue, Exit
34.25, 4, blue, Entry
34.68, 4, blue, Exit
34.68, 2, blue, Entry
34.72, 2, blue, Exit
34.72, 4, blue, Entry
35.15, 4, blue, Exit
35.15, 2, blue, Entry
35.18, 2, blue, Exit
35.18, 4, blue, Entry
35.95, 2, yellow, Exit
35.95, 4, yellow, Entry
36.25, 4, blue, Exit
36.25, 2, blue, Entry
41.97, 2, blue, Exit
41.97, 4, blue, Entry
41.97, 4, red, Exit
41.97, 1, red, Entry
42.01, 1, red, Exit
42.01, 3, red, Entry
42.04, 4, blue, Exit
42.04, 2, blue, Entry
42.27, 3, red, Exit
42.27, 1, red, Entry
42.34, 1, red, Exit
42.34, 3, red, Entry
42.41, 3, red, Exit
42.41, 2, red, Entry
42.44, 2, red, Exit
42.44, 3, red, Entry
42.80, 3, red, Exit
42.80, 2, red, Entry
42.84, 2, red, Exit
42.84, 4, red, Entry
42.87, 4, red, Exit
42.87, 1, red, Entry
42.90, 1, red, Exit
42.90, 3, red, Entry
42.97, 3, red, Exit
42.97, 1, red, Entry
43.14, 1, red, Exit
43.14, 3, red, Entry
43.27, 3, red, Exit
43.27, 2, red, Entry
43.37, 2, red, Exit
43.37, 3, red, Entry
43.40, 3, red, Exit
43.40, 2, red, Entry
43.44, 2, red, Exit
43.44, 3, red, Entry
43.54, 3, red, Exit
43.54, 2, red, Entry
43.57, 2, red, Exit
43.57, 4, red, Entry
43.60, 4, red, Exit
43.60, 3, red, Entry
43.64, 3, red, Exit
43.64, 1, red, Entry
43.70, 1, red, Exit
43.70, 3, red, Entry
43.77, 3, red, Exit
43.77, 4, red, Entry
43.84, 4, red, Exit
43.84, 3, red, Entry
43.87, 2, blue, Exit
43.87, 4, blue, Entry
44.04, 3, red, Exit
44.04, 4, red, Entry
44.07, 4, red, Exit
44.07, 3, red, Entry
44.10, 3, red, Exit
44.10, 1, red, Entry
44.14, 1, red, Exit
44.14, 3, red, Entry
44.27, 4, blue, Exit
44.27, 2, blue, Entry
44.30, 2, blue, Exit
44.30, 4, blue, Entry
44.30, 3, red, Exit
44.30, 1, red, Entry
44.34, 1, red, Exit
44.34, 2, red, Entry
44.40, 2, red, Exit
44.40, 3, red, Entry
44.44, 3, red, Exit
44.44, 1, red, Entry
44.47, 1, red, Exit
44.47, 3, red, Entry
44.80, 4, blue, Exit
44.80, 2, blue, Entry
44.80, 3, red, Exit
44.80, 2, red, Entry
44.83, 2, blue, Exit
44.83, 4, blue, Entry
44.87, 2, red, Exit
44.87, 1, red, Entry
44.93, 1, red, Exit
44.93, 2, red, Entry
45.03, 2, red, Exit
45.03, 4, red, Entry
45.07, 4, blue, Exit
45.07, 2, blue, Entry
45.07, 4, red, Exit
45.07, 3, red, Entry
45.10, 3, red, Exit
45.10, 2, red, Entry
45.17, 2, blue, Exit
45.17, 4, blue, Entry
45.17, 2, red, Exit
45.17, 3, red, Entry
45.20, 3, red, Exit
45.20, 4, red, Entry
45.23, 4, red, Exit
45.23, 1, red, Entry
45.30, 1, red, Exit
45.30, 3, red, Entry
45.47, 3, red, Exit
45.47, 1, red, Entry
45.50, 1, red, Exit
45.50, 3, red, Entry
45.53, 3, red, Exit
45.53, 1, red, Entry
45.60, 1, red, Exit
45.60, 4, red, Entry
45.67, 4, red, Exit
45.67, 1, red, Entry
45.70, 1, red, Exit
45.70, 3, red, Entry
45.77, 3, red, Exit
45.77, 4, red, Entry
45.80, 4, red, Exit
45.80, 3, red, Entry
45.87, 3, red, Exit
45.87, 4, red, Entry
45.90, 4, red, Exit
45.90, 3, red, Entry
45.93, 3, red, Exit
45.93, 1, red, Entry
46.23, 4, blue, Exit
46.23, 2, blue, Entry
46.23, 1, red, Exit
46.23, 3, red, Entry
46.27, 3, red, Exit
46.27, 4, red, Entry
46.30, 2, blue, Exit
46.30, 4, blue, Entry
46.30, 4, red, Exit
46.30, 3, red, Entry
46.33, 4, blue, Exit
46.33, 2, blue, Entry
46.33, 3, red, Exit
46.33, 4, red, Entry
46.37, 4, red, Exit
46.37, 3, red, Entry
46.40, 3, red, Exit
46.40, 1, red, Entry
46.43, 2, blue, Exit
46.43, 4, blue, Entry
46.43, 1, red, Exit
46.43, 4, red, Entry
46.47, 4, red, Exit
46.47, 1, red, Entry
46.50, 1, red, Exit
46.50, 4, red, Entry
46.57, 4, red, Exit
46.57, 1, red, Entry
46.60, 1, red, Exit
46.60, 3, red, Entry
46.73, 3, red, Exit
46.73, 1, red, Entry
46.77, 1, red, Exit
46.77, 3, red, Entry
46.80, 3, red, Exit
46.80, 4, red, Entry
46.93, 4, red, Exit
46.93, 1, red, Entry
47.00, 4, blue, Exit
47.00, 2, blue, Entry
47.00, 1, red, Exit
47.00, 3, red, Entry
47.07, 2, blue, Exit
47.07, 4, blue, Entry
47.07, 3, red, Exit
47.07, 4, red, Entry
47.23, 4, red, Exit
47.23, 1, red, Entry
47.26, 1, red, Exit
47.26, 2, red, Entry
47.33, 2, red, Exit
47.33, 4, red, Entry
47.36, 4, blue, Exit
47.36, 2, blue, Entry
47.40, 2, blue, Exit
47.40, 4, blue, Entry
47.43, 4, red, Exit
47.43, 2, red, Entry
47.46, 4, blue, Exit
47.46, 2, blue, Entry
47.46, 2, red, Exit
47.46, 3, red, Entry
47.50, 2, blue, Exit
47.50, 4, blue, Entry
47.56, 4, blue, Exit
47.56, 2, blue, Entry
47.60, 2, blue, Exit
47.60, 4, blue, Entry
47.63, 3, red, Exit
47.63, 4, red, Entry
47.66, 4, red, Exit
47.66, 2, red, Entry
47.70, 2, red, Exit
47.70, 3, red, Entry
47.73, 3, red, Exit
47.73, 2, red, Entry
47.76, 2, red, Exit
47.76, 3, red, Entry
47.83, 3, red, Exit
47.83, 1, red, Entry
47.86, 1, red, Exit
47.86, 3, red, Entry
47.93, 3, red, Exit
47.93, 1, red, Entry
47.96, 1, red, Exit
47.96, 4, red, Entry
48.00, 4, red, Exit
48.00, 1, red, Entry
48.03, 4, blue, Exit
48.03, 2, blue, Entry
48.06, 2, blue, Exit
48.06, 4, blue, Entry
48.06, 1, red, Exit
48.06, 2, red, Entry
48.13, 2, red, Exit
48.13, 3, red, Entry
48.16, 3, red, Exit
48.16, 2, red, Entry
48.20, 2, red, Exit
48.20, 1, red, Entry
48.23, 1, red, Exit
48.23, 2, red, Entry
48.26, 2, red, Exit
48.26, 3, red, Entry
48.30, 3, red, Exit
48.30, 4, red, Entry
48.36, 4, red, Exit
48.36, 1, red, Entry
48.40, 1, red, Exit
48.40, 3, red, Entry
48.43, 3, red, Exit
48.43, 1, red, Entry
48.50, 1, red, Exit
48.50, 4, red, Entry
48.76, 4, blue, Exit
48.76, 2, blue, Entry
48.80, 4, red, Exit
48.80, 2, red, Entry
48.83, 4, yellow, Exit
48.83, 2, yellow, Entry
48.83, 2, red, Exit
48.83, 1, red, Entry
48.86, 1, red, Exit
48.86, 3, red, Entry
48.96, 2, blue, Exit
48.96, 4, blue, Entry
49.00, 3, red, Exit
49.00, 1, red, Entry
49.13, 1, red, Exit
49.13, 4, red, Entry
49.16, 4, red, Exit
49.16, 2, red, Entry
49.20, 2, red, Exit
49.20, 3, red, Entry
49.23, 3, red, Exit
49.23, 1, red, Entry
49.33, 1, red, Exit
49.33, 3, red, Entry
49.39, 3, red, Exit
49.39, 1, red, Entry
49.53, 1, red, Exit
49.53, 3, red, Entry
49.59, 3, red, Exit
49.59, 4, red, Entry
49.63, 4, red, Exit
49.63, 3, red, Entry
49.79, 3, red, Exit
49.79, 4, red, Entry
49.83, 4, red, Exit
49.83, 3, red, Entry
49.86, 3, red, Exit
49.86, 1, red, Entry
49.89, 1, red, Exit
49.89, 3, red, Entry
49.93, 3, red, Exit
49.93, 1, red, Entry
50.03, 1, red, Exit
50.03, 3, red, Entry
50.19, 3, red, Exit
50.19, 1, red, Entry
50.23, 1, red, Exit
50.23, 3, red, Entry
50.26, 3, red, Exit
50.26, 4, red, Entry
50.29, 4, red, Exit
50.29, 3, red, Entry
50.43, 3, red, Exit
50.43, 1, red, Entry
50.46, 1, red, Exit
50.46, 3, red, Entry
50.49, 3, red, Exit
50.49, 4, red, Entry
50.53, 4, red, Exit
50.53, 3, red, Entry
50.56, 3, red, Exit
50.56, 1, red, Entry
50.59, 1, red, Exit
50.59, 3, red, Entry
50.63, 3, red, Exit
50.63, 1, red, Entry
50.73, 1, red, Exit
50.73, 2, red, Entry
50.76, 2, red, Exit
50.76, 1, red, Entry
50.79, 1, red, Exit
50.79, 3, red, Entry
50.86, 3, red, Exit
50.86, 1, red, Entry
51.26, 1, red, Exit
51.26, 2, red, Entry
51.29, 2, red, Exit
51.29, 3, red, Entry
51.39, 3, red, Exit
51.39, 1, red, Entry
51.46, 1, red, Exit
51.46, 3, red, Entry
51.49, 3, red, Exit
51.49, 1, red, Entry
51.56, 1, red, Exit
51.56, 2, red, Entry
51.59, 2, red, Exit
51.59, 3, red, Entry
51.69, 3, red, Exit
51.69, 4, red, Entry
53.32, 4, blue, Exit
53.32, 2, blue, Entry
56.48, 2, blue, Exit
56.48, 4, blue, Entry
58.91, 4, blue, Exit
58.91, 2, blue, Entry
60.78, 2, blue, Exit
60.78, 4, blue, Entry
64.17, 4, red, Exit
64.17, 2, red, Entry
64.21, 2, red, Exit
64.21, 1, red, Entry
64.24, 1, red, Exit
64.24, 2, red, Entry
64.27, 2, red, Exit
64.27, 3, red, Entry
64.54, 3, red, Exit
64.54, 4, red, Entry
64.74, 4, red, Exit
64.74, 3, red, Entry
64.81, 3, red, Exit
64.81, 4, red, Entry
64.94, 4, red, Exit
64.94, 1, red, Entry
65.11, 1, red, Exit
65.11, 4, red, Entry
65.17, 4, red, Exit
65.17, 2, red, Entry
65.27, 2, red, Exit
65.27, 1, red, Entry
65.31, 1, red, Exit
65.31, 3, red, Entry
65.34, 3, red, Exit
65.34, 2, red, Entry
65.37, 2, red, Exit
65.37, 3, red, Entry
65.41, 3, red, Exit
65.41, 2, red, Entry
65.47, 2, red, Exit
65.47, 1, red, Entry
65.54, 1, red, Exit
65.54, 2, red, Entry
65.64, 2, red, Exit
65.64, 3, red, Entry
65.87, 3, red, Exit
65.87, 2, red, Entry
65.90, 2, red, Exit
65.90, 1, red, Entry
65.94, 1, red, Exit
65.94, 3, red, Entry
65.97, 3, red, Exit
65.97, 2, red, Entry
66.00, 2, red, Exit
66.00, 4, red, Entry
66.04, 4, red, Exit
66.04, 2, red, Entry
66.07, 2, red, Exit
66.07, 3, red, Entry
66.10, 3, red, Exit
66.10, 4, red, Entry
66.14, 4, red, Exit
66.14, 1, red, Entry
66.17, 1, red, Exit
66.17, 4, red, Entry
66.30, 4, red, Exit
66.30, 2, red, Entry
66.34, 2, red, Exit
66.34, 1, red, Entry
66.40, 1, red, Exit
66.40, 4, red, Entry
66.44, 4, red, Exit
66.44, 1, red, Entry
66.50, 1, red, Exit
66.50, 4, red, Entry
66.57, 4, red, Exit
66.57, 3, red, Entry
66.60, 2, yellow, Exit
66.60, 1, yellow, Entry
66.60, 3, red, Exit
66.60, 1, red, Entry
66.64, 1, yellow, Exit
66.64, 2, yellow, Entry
66.67, 1, red, Exit
66.67, 3, red, Entry
